word,pos,zh,corpus_count,corpus_share,tracks
blunder,n.,大错、大失策,183,0.871,cet6+postgrad
blunder,v.,失策、跌跌撞撞地走、犯错,26,0.124,cet6+postgrad
blush,v.,脸红、羞愧,101,0.324,cet6+postgrad
blush,n.,脸红,61,0.196,cet6+postgrad
boast,v.,吹牛、自夸,446,0.747,cet4+cet6+postgrad
boast,n.,吹牛,137,0.229,cet4+cet6+postgrad
bomb,n.,炸弹,5742,0.920,life+cet4+cet6+postgrad
bomb,v.,轰炸、投弹于,392,0.063,life+cet4+cet6+postgrad
book,n.,书、书籍、帐簿,29146,0.893,life
book,v.,登记、预订,1200,0.037,life
boom,n.,繁荣、隆隆声,5983,0.932,postgrad
boom,v.,急速发展、发隆隆声,92,0.014,postgrad
boost,n.,推进、吹捧,2236,0.534,cet4+cet6+postgrad
boost,v.,推进、提高、宣扬,1943,0.464,cet4+cet6+postgrad
bottle,n.,瓶子、酒瓶,8570,0.963,life
bottle,v.,装瓶、抑制、围困,275,0.031,life
bottom,n.,底部,16789,0.744,life+cet4+postgrad
bottom,adj.,底部的,5358,0.238,life+cet4+postgrad
bounce,n.,跳、跳跃、弹力,1954,0.489,cet4+cet6+postgrad
bounce,v.,反跳、弹跳,1809,0.453,cet4+cet6+postgrad
bow,n.,弓、眼睛框,2319,0.695,cet4+cet6+postgrad
bow,v.,用弓拉琴、弯成弓形,730,0.219,cet4+cet6+postgrad
bowl,n.,碗、木球、大酒杯,9095,0.920,life+cet4+postgrad
bowl,v.,滚木球、快而稳地行驶,345,0.035,life+cet4+postgrad
brake,n.,刹车、阻碍、丛林,954,0.686,cet4+postgrad
brake,v.,刹车,200,0.144,cet4+postgrad
branch,n.,树枝、支店、支流,2243,0.886,life+cet4+postgrad
branch,v.,分支、出枝,66,0.026,life+cet4+postgrad
breach,n.,裂口、违背、破坏,1317,0.865,postgrad
breach,v.,攻破、突破,194,0.127,postgrad
break,v.,打破、弄破、弄坏,17033,0.499,life
break,n.,休息、中断、破裂处,16721,0.490,life
breed,n.,种类、品种,2305,0.627,cet4+cet6+postgrad
breed,v.,养育、引起、饲养,1342,0.365,cet4+cet6+postgrad
bribe,n.,贿赂,206,0.532,cet6+postgrad
bribe,v.,贿赂、收买,181,0.468,cet6+postgrad
bridge,n.,桥、舰桥、桥梁,6593,0.642,life
bridge,v.,架桥于、跨越,247,0.024,life
brief,adj.,简短的、短暂的,1934,0.530,cet4+postgrad
brief,n.,摘要、简报,1521,0.417,cet4+postgrad
brief,v.,对...作简报、摘要、节录,190,0.052,cet4+postgrad
broadcast,n.,广播、传播,1291,0.529,cet4+postgrad
broadcast,v.,广播,1079,0.442,cet4+postgrad
browse,n.,浏览、吃草,176,0.519,cet6+postgrad
browse,v.,浏览、吃草,149,0.440,cet6+postgrad
bruise,n.,青肿、挫伤、擦伤,288,0.716,cet4+cet6+postgrad
bruise,v.,受伤、擦伤,93,0.231,cet4+cet6+postgrad
bully,n.,欺凌弱小者、土霸,984,0.928,postgrad
bully,adv.,十分,21,0.020,postgrad
bump,n.,撞击、肿块,1028,0.559,cet6+postgrad
bump,v.,碰撞,777,0.423,cet6+postgrad
bundle,n.,捆、束,471,0.852,cet4+cet6+postgrad
bundle,v.,包扎、胡乱塞进,57,0.103,cet4+cet6+postgrad
burst,v.,爆裂、突发、充满,1555,0.506,cet4+cet6+postgrad
burst,n.,破裂、突发、爆发,1494,0.486,cet4+cet6+postgrad
buy,v.,买、获得,42357,0.902,life
buy,n.,购买、买得的东西,4430,0.094,life
buzz,n.,嗡嗡声、流言,2569,0.627,cet6
buzz,v.,发出嗡嗡声、说闲话,1005,0.245,cet6
bypass,n.,旁路,446,0.737,cet6+postgrad
bypass,v.,省略、绕过、忽视,142,0.235,cet6+postgrad
cabin,n.,小屋、客舱,1420,0.891,cet4+cet6+postgrad
cabin,v.,关在小屋,24,0.015,cet4+cet6+postgrad
call,v.,呼叫、召集、打电话,48211,0.696,life
call,n.,呼叫、访问、打电话,20758,0.300,life
calm,adj.,平静的、冷静的,5704,0.533,cet4+cet6+postgrad
calm,v.,平静下来、镇静,4667,0.436,cet4+cet6+postgrad
cap,n.,盖子、帽子,4597,0.867,cet4+cet6+postgrad
cap,v.,戴帽子、覆盖、胜过,332,0.063,cet4+cet6+postgrad
capital,n.,首都、大写字母、资本,11274,0.949,life+cet4+cet6+postgrad
capital,adj.,首都的、重要的,184,0.015,life+cet4+cet6+postgrad
captain,n.,船长、指挥官、海军上校,8414,0.591,cet4+cet6+postgrad
captain,v.,率领、指挥,192,0.013,cet4+cet6+postgrad
capture,v.,抓取、获得、迷住,2328,0.745,life+cet4+cet6+postgrad
capture,n.,抓取、战利品、捕获之物,758,0.242,life+cet4+cet6+postgrad
care,n.,小心、照料、忧虑,26068,0.591,life
care,v.,关心、介意,16249,0.368,life
caress,v.,爱抚、抱、宠爱,42,0.483,postgrad
caress,n.,爱抚、拥抱,32,0.368,postgrad
cart,n.,二轮运货马车,1071,0.894,cet4+cet6+postgrad
cart,v.,驾运货马车,109,0.091,cet4+cet6+postgrad
cash,n.,现金,16764,0.933,life+cet4+postgrad
cash,v.,兑现,359,0.020,life+cet4+postgrad
cast,v.,投、掷、抛,4537,0.594,cet4+cet6+postgrad
cast,n.,演员阵容、投掷、铸件,3099,0.406,cet4+cet6+postgrad
catch,v.,捕捉、赶上、感染,18941,0.849,life
catch,n.,捕捉、陷阱、捕捉之物,3236,0.145,life
cause,n.,原因、目标,6966,0.511,life+cet4+cet6+postgrad
cause,v.,引起、使产生、使遭受,6584,0.483,life+cet4+cet6+postgrad
caution,n.,小心、慎重、警示,1189,0.917,cet6+postgrad
caution,v.,警告,107,0.083,cet6+postgrad
cave,n.,洞、穴,2488,0.792,cet4+cet6+postgrad
cave,v.,凹陷、塌落,124,0.039,cet4+cet6+postgrad
cement,n.,水泥、胶结剂,682,0.770,cet4+cet6+postgrad
cement,v.,胶合、用水泥涂,188,0.212,cet4+cet6+postgrad
centre,n.,中心、中心点、中锋,24177,0.781,cet4+cet6+postgrad
centre,adj.,中央的、位在正中的,1465,0.047,cet4+cet6+postgrad
centre,v.,集中、定中心,761,0.025,cet4+cet6+postgrad
challenge,n.,挑战、盘问,26282,0.838,life+cet4+cet6+postgrad
challenge,v.,向...挑战、要求、怀疑,2560,0.082,life+cet4+cet6+postgrad
champion,n.,冠军、拥护者、战士,10941,0.844,cet4+cet6+postgrad
champion,v.,保卫、拥护,310,0.024,cet4+cet6+postgrad
champion,adj.,优胜的,288,0.022,cet4+cet6+postgrad
change,v.,改变、更换、兑换,33735,0.547,life
change,n.,变化、找回的零钱、找头,26629,0.432,life
characteristic,adj.,特性的、特有的、有特色的,445,0.666,cet4+cet6+postgrad
characteristic,n.,特性、特征、特色,222,0.332,cet4+cet6+postgrad
charge,n.,指控、费用、冲锋,13826,0.786,life+cet4+cet6+postgrad
charge,v.,控诉、加罪于、使充满,3579,0.203,life+cet4+cet6+postgrad
chart,n.,图表、海图,1727,0.878,cet4+cet6+postgrad
chart,v.,制成图表,185,0.094,cet4+cet6+postgrad
chase,v.,追捕、追逐、雕刻,1811,0.444,cet4+cet6+postgrad
chase,n.,追求、狩猎、追逐,1430,0.351,cet4+cet6+postgrad
cheap,adj.,便宜的、不值钱的、可鄙的,8782,0.978,life
cheap,adv.,便宜地,142,0.016,life
cheat,v.,欺骗、逃脱、骗取,1446,0.965,cet4+cet6+postgrad
cheat,n.,欺骗、作弊、骗子,42,0.028,cet4+cet6+postgrad
check,v.,检查、阻止、核对,19779,0.787,life
check,n.,检查、支票、阻止物,5367,0.213,life
cheer,v.,欢呼、喝彩、快活起来,2415,0.546,cet4+cet6+postgrad
cheer,n.,愉快、振奋、欢呼,1844,0.417,cet4+cet6+postgrad
chemical,n.,化学药品,2276,0.870,cet4+cet6+postgrad
chemical,adj.,化学的、化学上用的,162,0.062,cet4+cet6+postgrad
chocolate,n.,巧克力,10578,0.897,cet4+postgrad
chocolate,adj.,巧克力制的,782,0.066,cet4+postgrad
chronic,adj.,慢性的、习惯性的,576,0.836,cet6+postgrad
chronic,n.,慢性病患者,100,0.145,cet6+postgrad
claim,v.,要求、认领、主张,4992,0.521,life+cet4+cet6+postgrad
claim,n.,要求、要求权、断言,4559,0.476,life+cet4+cet6+postgrad
clamp,v.,夹紧、强加,319,0.581,cet6
clamp,n.,夹钳,230,0.419,cet6
clap,v.,鼓掌、(使)啪地关上,727,0.438,cet4+cet6+postgrad
clap,n.,拍手、拍手声、霹雳声,585,0.353,cet4+cet6+postgrad
clash,n.,冲突、撞击声、抵触,1381,0.824,cet6+postgrad
clash,v.,冲突、抵触,249,0.149,cet6+postgrad
clasp,n.,扣子、钩、紧握,126,0.773,cet4+cet6+postgrad
clasp,v.,扣紧、紧握,26,0.160,cet4+cet6+postgrad
classic,adj.,第一流的、最优秀的、古典的,8965,0.905,cet4+cet6+postgrad
classic,n.,古典作品、杰作、大艺术家,768,0.078,cet4+cet6+postgrad
clatter,n.,咔嗒声、哗啦声、嘈杂的谈笑声,185,0.456,cet6
clatter,v.,发出哗啦声、喧闹的谈笑,135,0.333,cet6
clean,adj.,干净的、清白的、简洁的,13856,0.742,life
clean,v.,清理、使干净、出空,4722,0.253,life
clear,adj.,清楚的、明确的、澄清的,41799,0.891,life
clear,v.,澄清、清除障碍,4692,0.100,life
click,n.,咔哒声、啪嗒声,904,0.389,postgrad
click,v.,作咔哒声,852,0.366,postgrad
climax,n.,高潮、极点、层进法,701,0.935,cet6+postgrad
climax,v.,(使)达到顶点、(使)达到高潮,35,0.047,cet6+postgrad
climb,v.,攀登、上升、爬,3588,0.628,life+cet4+cet6+postgrad
climb,n.,攀登、爬升,1905,0.333,life+cet4+cet6+postgrad
clip,n.,修剪、夹子、回形针,3045,0.837,cet6+postgrad
clip,v.,修剪、痛打、夹牢,431,0.118,cet6+postgrad
close,adv.,接近地、紧密地,21702,0.400,life
close,adj.,靠近的、亲近的、亲密的,19981,0.368,life
close,v.,关、结束、使靠近,7673,0.141,life
close,n.,结束、完结,4509,0.083,life
cloud,n.,云、阴暗、烟雾,11186,0.953,life
cloud,v.,以云遮敝、笼罩、使黯然,327,0.028,life
clutch,n.,抓紧、掌握、离合器,569,0.822,cet6+postgrad
clutch,v.,抓住、踩汽车离合器踏板,73,0.105,cet6+postgrad
coach,n.,四轮大马车、教练,6140,0.934,life+cet4+cet6+postgrad
coach,v.,训练、指导,435,0.066,life+cet4+cet6+postgrad
cock,n.,公鸡、雄禽、龙头,1270,0.664,cet4+cet6+postgrad
cock,v.,使耸立、使竖起、堆成锥形小干草堆,377,0.197,cet4+cet6+postgrad
cold,adj.,寒冷的、冷淡的、冷静的,22156,0.857,life+cet4+postgrad
cold,n.,感冒、寒冷,1711,0.066,life+cet4+postgrad
collapse,n.,崩溃、倒塌、虚脱,2621,0.821,cet4+cet6+postgrad
collapse,v.,倒塌、崩溃、瓦解,559,0.175,cet4+cet6+postgrad
comb,n.,头梳、鸡冠,560,0.715,cet4+cet6+postgrad
comb,v.,梳头发、梳毛,155,0.198,cet4+cet6+postgrad
combat,n.,争斗、战斗,1507,0.705,cet6+postgrad
combat,v.,战斗、争斗,555,0.260,cet6+postgrad
comic,adj.,滑稽的、有趣的、喜剧的,2304,0.760,postgrad
comic,n.,连环漫画、喜剧演员、滑稽的人,131,0.043,postgrad
command,n.,命令、指挥、控制,2529,0.701,cet4+cet6+postgrad
command,v.,命令、指挥、控制,674,0.187,cet4+cet6+postgrad
comment,n.,注解、批评、评论,2864,0.617,life+cet4+cet6+postgrad
comment,v.,评论、注解,1777,0.383,life+cet4+cet6+postgrad
commercial,adj.,商业的、商用的、商品化的,5161,0.939,life+cet4+cet6+postgrad
commercial,n.,商业广告节目,294,0.054,life+cet4+cet6+postgrad
commonplace,adj.,平凡的、普通的,212,0.654,cet6+postgrad
commonplace,n.,寻常事、老生常谈、普通的东西,110,0.340,cet6+postgrad
compass,n.,指南针、范围、音域,938,0.877,cet4+cet6+postgrad
compass,v.,包围、达到、图谋,59,0.055,cet4+cet6+postgrad
complete,adj.,完全的、十足的、完成的,14106,0.784,life+cet4+cet6+postgrad
complete,v.,完成、完工、使圆满,3884,0.216,life+cet4+cet6+postgrad
complex,adj.,复杂的、组合的,4651,0.833,life+cet4+cet6+postgrad
complex,n.,综合体、情结、络合物,931,0.167,life+cet4+cet6+postgrad
compliment,n.,称赞、恭维、敬意,886,0.882,cet6+postgrad
compliment,v.,称赞、褒扬、恭维,117,0.117,cet6+postgrad
composite,adj.,合成的、混合成的、菊科的,126,0.704,cet6+postgrad
composite,n.,合成物、复合材料、菊科,47,0.263,cet6+postgrad
compound,n.,混合物、复合词、化合物,1170,0.941,cet4+cet6+postgrad
compound,v.,化合、和解、妥协,65,0.052,cet4+cet6+postgrad
compromise,n.,妥协、折中、折中方案,2002,0.652,cet4+cet6+postgrad
compromise,v.,妥协处理,1060,0.345,cet4+cet6+postgrad
concentrate,v.,集中、专心,4082,0.885,cet4+cet6+postgrad
concentrate,n.,浓缩、精选,528,0.114,cet4+cet6+postgrad
concern,n.,关心、忧虑,9980,0.988,life+cet4+cet6+postgrad
concern,v.,与...有关、使担心、使挂念,121,0.012,life+cet4+cet6+postgrad
concrete,adj.,具体的、实在的、混凝土的,2077,0.623,cet4+cet6+postgrad
concrete,n.,凝结物、混凝土,1188,0.357,cet4+cet6+postgrad
conduct,v.,为人、指挥、管理,1236,0.514,life+cet4+cet6+postgrad
conduct,n.,行为、举动、指导,1093,0.454,life+cet4+cet6+postgrad
conflict,n.,战斗、冲突、矛盾,4580,0.983,life+cet4+cet6+postgrad
conflict,v.,争执、战斗、冲突,57,0.012,life+cet4+cet6+postgrad
consent,n.,同意、许可,1381,0.939,cet4+cet6+postgrad
consent,v.,同意、赞同,65,0.044,cet4+cet6+postgrad
console,n.,控制台,357,0.412,cet6+postgrad
console,v.,安慰、藉慰,291,0.336,cet6+postgrad
constituent,n.,成分、选民、构成物,451,0.807,cet6+postgrad
constituent,adj.,构成的、组织的、选举的,107,0.191,cet6+postgrad
contact,n.,联系、交际、熟人,8215,0.777,life+cet4+cet6+postgrad
contact,v.,接触、联系,2351,0.222,life+cet4+cet6+postgrad
content,n.,内容、满足、意义,2261,0.675,life+cet4+cet6+postgrad
content,adj.,满足的、满意的,1077,0.321,life+cet4+cet6+postgrad
contest,n.,竞赛、争论,4104,0.916,cet4+cet6+postgrad
contest,v.,竞争、争取、争辩,259,0.058,cet4+cet6+postgrad
contract,n.,合约、婚约、契约,6204,0.979,life+cet4+cet6+postgrad
contract,v.,使皱缩、使缩短、感染,91,0.014,life+cet4+cet6+postgrad
contradictory,adj.,反驳的、反对的、抗辩的,203,0.809,cet6
contradictory,n.,矛盾因素、对立物,48,0.191,cet6
contrary,adj.,相反的、矛盾的、对立的,599,0.545,cet4+cet6+postgrad
contrary,n.,相反、对立面,500,0.455,cet4+cet6+postgrad
contrast,n.,差别、对比、对照物,2571,0.948,life+cet4+cet6+postgrad
contrast,v.,使对比,141,0.052,life+cet4+cet6+postgrad
control,n.,控制、管理、克制,21352,0.768,life+cet4+postgrad
control,v.,控制、操纵、抑制,5626,0.202,life+cet4+postgrad
converse,v.,交谈、谈话,66,0.564,cet6
converse,n.,相反的事物、倒、逆向,29,0.248,cet6
cook,v.,烹调、煮饭、加热,14750,0.679,life
cook,n.,厨子、厨师,3696,0.170,life
cool,adj.,凉爽的、冷淡的、冷静的,17095,0.727,life
cool,v.,冷却、平息,2142,0.091,life
cool,n.,凉爽、凉爽的空气,1305,0.056,life
copy,n.,副本、摹仿、一册,3336,0.692,life
copy,v.,复印、抄袭、复制,1488,0.308,life
cordial,adj.,热忱的、诚恳的、有兴奋作用的,175,0.754,cet4+cet6+postgrad
cordial,n.,兴奋剂、补品,50,0.216,cet4+cet6+postgrad
correct,adj.,正确的、合适的,45298,0.967,life+cet4+postgrad
correct,v.,改正、订正,1339,0.029,life+cet4+postgrad
cost,n.,代价、价值、费用,17903,0.597,life
cost,v.,花费,12080,0.403,life
cosy,adj.,温暖舒适的,2258,0.707,postgrad
cosy,n.,保暖套,651,0.204,postgrad
cough,n.,咳嗽,570,0.598,cet4+postgrad
cough,v.,咳嗽,358,0.376,cet4+postgrad
count,v.,计算、视为,5746,0.555,life+cet4+cet6+postgrad
count,n.,计算、合计、计数,3749,0.362,life+cet4+cet6+postgrad
counter,n.,计算器、计算者、柜台,2248,0.571,cet4+cet6+postgrad
counter,adv.,反方向地、相反地,550,0.140,cet4+cet6+postgrad
counter,adj.,反方向的、相反的,412,0.105,cet4+cet6+postgrad
cover,v.,覆盖、掩饰、保护,7763,0.528,life
cover,n.,盖子、封面、藉口,6322,0.430,life
crack,n.,裂缝、爆裂声,3864,0.563,cet4+cet6+postgrad
crack,v.,(使)爆裂、(使)裂开、(使)发出爆裂声,2929,0.427,cet4+cet6+postgrad
craft,n.,技艺、手艺、诡计,2151,0.931,cet4+cet6+postgrad
craft,v.,精心制作,62,0.027,cet4+cet6+postgrad
crash,n.,哗啦声、猛撞、崩溃,5224,0.752,cet4+cet6+postgrad
crash,v.,撞碎、破碎、(使)...坠毁,640,0.092,cet4+cet6+postgrad
crash,adj.,速成的,109,0.016,cet4+cet6+postgrad
crawl,v.,爬行,629,0.588,cet4+cet6+postgrad
crawl,n.,爬行、匍匐而行、养鱼池,410,0.383,cet4+cet6+postgrad
creep,v.,爬、蔓延、潜行,605,0.577,cet4+cet6+postgrad
creep,n.,爬、徐行、蠕动,339,0.323,cet4+cet6+postgrad
criminal,adj.,犯了罪的、刑事的、有罪的,6100,0.851,life+cet4+cet6+postgrad
criminal,n.,罪犯、犯人、刑事,435,0.061,life+cet4+cet6+postgrad
cripple,n.,跛者、残废,79,0.454,cet4+cet6+postgrad
cripple,v.,使跛、使成残废、削弱,71,0.408,cet4+cet6+postgrad
crop,n.,农作物、产量、平头,2377,0.941,cet4+cet6+postgrad
crop,v.,收割、修剪、种植,135,0.053,cet4+cet6+postgrad
cross,n.,十字架、十字架形物件、交叉,6841,0.392,life+cet4+cet6+postgrad
cross,v.,交叉、横过、越过,5797,0.332,life+cet4+cet6+postgrad
cross,adj.,生气的、交叉的、相反的,1391,0.080,life+cet4+cet6+postgrad
crowd,n.,群众、一伙人,11393,0.974,life+cet4+cet6+postgrad
crowd,v.,拥挤、挤满、挤进,152,0.013,life+cet4+cet6+postgrad
crude,adj.,天然的、未成熟的、粗糙的,627,0.684,cet4+cet6+postgrad
crude,n.,天然的物质,276,0.301,cet4+cet6+postgrad
cruise,n.,巡航、巡弋、漫游,1659,0.667,cet6+postgrad
cruise,v.,巡航、巡弋、漫游,158,0.064,cet6+postgrad
crush,v.,压破、征服、塞,972,0.580,cet4+cet6+postgrad
